Country,Time,Value
Australia,2018-Q4,0.105242078
Australia,2019-Q1,0.443935576
Australia,2019-Q2,0.758092607
Australia,2019-Q3,0.505938362
Australia,2019-Q4,0.552559011
Australia,2020-Q1,-0.26217283
Australia,2020-Q2,-6.997135639
Australia,2008-Q1,1.135280864
Australia,2008-Q2,0.223897761
Australia,2008-Q3,0.774979471
Australia,2008-Q4,-0.484512607
Australia,2009-Q1,1.035498065
Australia,2009-Q2,0.559921415
Australia,2009-Q3,0.305807908
Australia,2009-Q4,0.731755483
Canada,2018-Q4,0.244056805
Canada,2019-Q1,0.286648249
Canada,2019-Q2,0.801419222
Canada,2019-Q3,0.279160226
Canada,2019-Q4,0.13976337
Canada,2020-Q1,-2.107752631
Canada,2020-Q2,-11.51169607
Canada,2008-Q1,0.076640567
Canada,2008-Q2,0.361671897
Canada,2008-Q3,0.820044012
Canada,2008-Q4,-1.159518489
Canada,2009-Q1,-2.259686183
Canada,2009-Q2,-1.091258596
Canada,2009-Q3,0.44993852
Canada,2009-Q4,1.166157024
United Kingdom,2018-Q4,0.166751655
United Kingdom,2019-Q1,0.551073721
United Kingdom,2019-Q2,-0.017923531
United Kingdom,2019-Q3,0.325823198
United Kingdom,2019-Q4,0.149395602
United Kingdom,2020-Q1,-2.522693203
United Kingdom,2020-Q2,-19.81092556
United Kingdom,2008-Q1,0.536658033
United Kingdom,2008-Q2,-0.559598604
United Kingdom,2008-Q3,-1.5624673
United Kingdom,2008-Q4,-2.060514321
United Kingdom,2009-Q1,-1.688822513
United Kingdom,2009-Q2,-0.189889069
United Kingdom,2009-Q3,0.123662717
United Kingdom,2009-Q4,0.342469537
Japan,2018-Q4,0.574906822
Japan,2019-Q1,0.703932637
Japan,2019-Q2,0.409732936
Japan,2019-Q3,0.041310655
Japan,2019-Q4,-1.796633024
Japan,2020-Q1,-0.58200285
Japan,2020-Q2,-7.919519426
Japan,2008-Q1,0.250291799
Japan,2008-Q2,-0.381050807
Japan,2008-Q3,-1.235541806
Japan,2008-Q4,-2.430044818
Japan,2009-Q1,-4.786476316
Japan,2009-Q2,2.094269431
Japan,2009-Q3,0.053746469
Japan,2009-Q4,1.372440252
United States,2018-Q4,0.328321429
United States,2019-Q1,0.72512256
United States,2019-Q2,0.370716167
United States,2019-Q3,0.636914747
United States,2019-Q4,0.58623185
United States,2020-Q1,-1.262654605
United States,2020-Q2,-8.986116769
United States,2008-Q1,-0.574699846
United States,2008-Q2,0.516387099
United States,2008-Q3,-0.541355591
United States,2008-Q4,-2.163811244
United States,2009-Q1,-1.122695047
United States,2009-Q2,-0.143989749
United States,2009-Q3,0.364111101
United States,2009-Q4,1.098384104
Germany,2018-Q4,0.338921472
Germany,2019-Q1,0.612222858
Germany,2019-Q2,-0.503593062
Germany,2019-Q3,0.309311452
Germany,2019-Q4,-0.018690252
Germany,2020-Q1,-2.018693573
Germany,2020-Q2,-9.690955512
Germany,2008-Q1,0.63217597
Germany,2008-Q2,-0.254453208
Germany,2008-Q3,-0.627122273
Germany,2008-Q4,-1.604455992
Germany,2009-Q1,-4.674413401
Germany,2009-Q2,0.159652865
Germany,2009-Q3,0.546506369
Germany,2009-Q4,0.736041612
Russia,2018-Q4,0.429617251
Russia,2019-Q1,-0.468618348
Russia,2019-Q2,2.37118293
Russia,2019-Q3,-0.878903266
Russia,2019-Q4,-0.705263376
Russia,2020-Q1,-0.879546459
Russia,2020-Q2,-3.237636448
Russia,2008-Q1,2.653171822
Russia,2008-Q2,0.621602394
Russia,2008-Q3,-1.490668597
Russia,2008-Q4,-3.252211484
Russia,2009-Q1,-3.526981758
Russia,2009-Q2,-1.458860781
Russia,2009-Q3,0.410425161
Russia,2009-Q4,1.081708456
Italy,2018-Q4,0.164153385
Italy,2019-Q1,0.182323387
Italy,2019-Q2,0.11912555
Italy,2019-Q3,0.01521159
Italy,2019-Q4,-0.203577444
Italy,2020-Q1,-5.508429952
Italy,2020-Q2,-13.03600147
Italy,2008-Q1,1.059917706
Italy,2008-Q2,-0.919169438
Italy,2008-Q3,-1.183794181
Italy,2008-Q4,-2.499396739
Italy,2009-Q1,-2.775615771
Italy,2009-Q2,-0.307608127
Italy,2009-Q3,0.485148444
Italy,2009-Q4,0.292177258
China,2018-Q4,1.5
China,2019-Q1,1.9
China,2019-Q2,1.3
China,2019-Q3,1
China,2019-Q4,1.6
China,2020-Q1,-10
China,2020-Q2,11.7
France,2018-Q4,0.653064217
France,2019-Q1,0.545805518
France,2019-Q2,0.245805777
France,2019-Q3,0.154693014
France,2019-Q4,-0.196374882
France,2020-Q1,-5.871507832
France,2020-Q2,-13.81183945
France,2008-Q1,0.449344141
France,2008-Q2,-0.470547494
France,2008-Q3,-0.31295105
France,2008-Q4,-1.397071232
France,2009-Q1,-1.660368405
France,2009-Q2,-0.10442501
France,2009-Q3,0.155811348
France,2009-Q4,0.726647361
