Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,Twentyten,Twentyeleven,Twentytwelve,Twentythirteen,Twentyfourteen,Twentyfifteen,Twentysixteen,Twentyseventeen,Twentyeighteen,Twentynineteen
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,15669.62,18427.61,22134.02,24837.95,25357.79,26329.31,26401.97,26663.21,27272.31,26705.18,26087.78,27190.5,27151.92,26954.4,28417.38,26966.05,25508.3,25469.29,27005.53,26979.89,27046.22,27427.58,27365.93,24463.69,23512.6,24233,23781.26,24635.76,24563.23,25822.25,26231.03,26630.21,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.3,343.08,333.22,357.23,365.28,405.55,412.01,488.3,543.3,528.74,576.19,587.57,583.66,574.18,571.07,571.54,568.34,571.47
Angola,,,,,,,,,,,,,,,,,,,,,3179.54,2934.4,2831.97,2847.5,2912.67,2909.53,2890.02,2904.13,2976.64,2877.34,2685.78,2623.71,2390.81,1759.35,1726.32,1922.42,2113.75,2195.72,2225.68,2201.53,2195.63,2213.68,2433.8,2423.29,2597.46,2883.98,3102.65,3409.5,3652.15,3549.58,3587.88,3579.96,3748.45,3796.88,3843.2,3748.32,3530.31,3409.93,3233.91,3103.5
Albania,,,,,,,,,,,,,,,,,,,,,1992.29,2064.98,2081.42,2060.25,1992.11,1986.32,2058.12,2001.53,1936.23,2070.29,1838.67,1331.81,1243.61,1370.83,1493.79,1703.28,1869.87,1676.13,1835.65,2085.43,2244.62,2453.62,2572.72,2725.17,2887.37,3062.67,3263.9,3485.32,3775.58,3928.45,4094.35,4209.87,4276.61,4327.38,4413.3,4524.37,4681.83,4864.31,5074.86,5209.36
Andorra,,,,,,,,,,,41701.54,41449.8,42605.79,43744.4,44186.43,42711.47,42634.09,42514.42,41901.27,40617.23,40076.71,38494.18,37365.78,36396.01,35450.31,34732.87,34384.91,34840.74,35178.87,35460.89,35410.32,34926.57,33923.98,32427.05,32296.18,32577.07,33821.67,36907.43,38196.39,39621.26,40379.39,42393.08,42607.06,44328.76,46010.1,46880.81,47845.4,47594.83,44317.55,41668.84,40852.67,41191.79,39769.56,39143.69,40914.73,42140.96,44107.96,44430.74,45133.71,45887.3
Arab World,,,,,,,,,,,,,,,,4074.16,4573.95,4793.92,4609.56,4976.44,5259.33,5244.05,4621.85,4175.8,4106.65,3894.87,3960.76,3829.6,3931.78,3914.57,4270.74,4220.21,4350.12,4374.36,4400.12,4384.53,4481.7,4569.03,4707.36,4690.76,4842.61,4814.88,4740.54,4886.35,5224.73,5400.54,5618.13,5734.49,5922.27,5806.19,5934.29,6020.49,6274.11,6333.03,6350.84,6418.03,6506.27,6454.46,6465.47,6437.17
United Arab Emirates,,,,,,,,,,,,,,,,103604.91,103766.65,109318.64,94683.68,102668.63,116232.75,113095.34,99319.61,89704.04,88583.38,80886.47,64972.42,63352.29,58146.8,61588.09,68780.59,65478.71,63853.89,61081.37,61843.21,62681.61,63076.61,64864.72,61773.87,60291.51,63251.52,60861.27,59187.21,60351.14,60328.32,56092.92,53335.03,47283.9,42456.8,36024.06,33893.3,34634.86,35416.89,36978.83,38495.05,40247.75,41045.11,41460.28,41327.38,41420.48
Argentina,5642.77,5853.17,5711.18,5323.49,5772.65,6286.23,6151.93,6255.18,6460.79,6980.9,7084.18,7368.08,7368.51,7453.75,7740.86,7617.94,7350.83,7743.58,7285.44,7910.37,7908.02,7380.67,7210.35,7403.73,7399.89,6904.65,7214.27,7294.06,7104.18,6497.43,6245.71,6721.28,7157.33,7644.24,7988.64,7666.53,7994.24,8543.03,8772.06,8381.25,8224.11,7776.14,6854.29,7380.47,7962.41,8577.86,9174.5,9901.51,10201.48,9502.24,10385.96,10883.32,10649.84,10784.63,10398.69,10568.16,10239.48,10404.26,10043.51,9729.14
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795.28,1600.12,948.16,885.22,955.59,1042.58,1120.85,1171.06,1266.41,1316.53,1403.03,1547.25,1761.13,2018.37,2243.09,2571.55,2933.59,3364.71,3627.8,3137.35,3218.37,3370.55,3603.6,3705.36,3819.22,3923.72,3917.38,4198.79,4406.71,4732.07
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10551.21,10561.32,10586.68,10565.23,10202.96,10535.55,10416.01,10117.01,10271.22,10360.51,9921.81,9640.34,9717.83,9850.57,9589.98,9048.18,9271.71,
