LOCATION,TIME,Value
South Korea,2008-Q1,0.402394858
South Korea,2008-Q2,0.523473003
South Korea,2008-Q3,0.815881043
South Korea,2008-Q4,-3.283889347
South Korea,2009-Q1,0.089986722
South Korea,2009-Q2,1.332777638
South Korea,2009-Q3,2.992674785
South Korea,2009-Q4,0.746867545
Australia,2008-Q1,1.135280864
Australia,2008-Q2,0.223897761
Australia,2008-Q3,0.774979471
Australia,2008-Q4,-0.484512607
Australia,2009-Q1,1.035498065
Australia,2009-Q2,0.559921415
Australia,2009-Q3,0.305807908
Australia,2009-Q4,0.731755483
Iceland,2008-Q1,-3.806088882
Iceland,2008-Q2,-1.497009594
Iceland,2008-Q3,-2.682885605
Iceland,2008-Q4,4.327671194
Iceland,2009-Q1,-9.349740444
Iceland,2009-Q2,1.212719139
Iceland,2009-Q3,1.606487741
Iceland,2009-Q4,-1.32436766
United Kingdom,2008-Q1,0.536658033
United Kingdom,2008-Q2,-0.559598604
United Kingdom,2008-Q3,-1.5624673
United Kingdom,2008-Q4,-2.060514321
United Kingdom,2009-Q1,-1.688822513
United Kingdom,2009-Q2,-0.189889069
United Kingdom,2009-Q3,0.123662717
United Kingdom,2009-Q4,0.342469537
Estonia,2008-Q1,-2.214102967
Estonia,2008-Q2,1.045839579
Estonia,2008-Q3,0.094792078
Estonia,2008-Q4,-11.73600232
Estonia,2009-Q1,-2.606179811
Estonia,2009-Q2,-3.309320229
Estonia,2009-Q3,-1.892183319
Estonia,2009-Q4,0.521941582
Denmark,2008-Q1,-0.041561001
Denmark,2008-Q2,-0.922683985
Denmark,2008-Q3,-0.584136662
Denmark,2008-Q4,-2.361480698
Denmark,2009-Q1,-1.423447795
Denmark,2009-Q2,-1.938341181
Denmark,2009-Q3,0.345762915
Denmark,2009-Q4,0.090743262
Spain,2008-Q1,0.215766273
Spain,2008-Q2,0.10925228
Spain,2008-Q3,-0.184139804
Spain,2008-Q4,-1.614017593
Spain,2009-Q1,-2.605535405
Spain,2009-Q2,-0.010778265
Spain,2009-Q3,0.211128086
Spain,2009-Q4,-0.020400669
Japan,2008-Q1,0.250291799
Japan,2008-Q2,-0.381050807
Japan,2008-Q3,-1.235541806
Japan,2008-Q4,-2.430044818
Japan,2009-Q1,-4.786476316
Japan,2009-Q2,2.094269431
Japan,2009-Q3,0.053746469
Japan,2009-Q4,1.372440252
OECD,2008-Q1,0.110007884
OECD,2008-Q2,0.014737898
OECD,2008-Q3,-0.508785576
OECD,2008-Q4,-1.974912329
OECD,2009-Q1,-2.289683569
OECD,2009-Q2,0.205342935
OECD,2009-Q3,0.592424475
OECD,2009-Q4,0.92041019
