Country,Time,Value
South Korea,2018Q4,0.865439871
South Korea,2019Q1,0.339694341
South Korea,2019Q2,1.014142649
South Korea,2019Q3,0.375455057
South Korea,2019Q4,1.311630082
South Korea,2020Q1,1.281701518
South Korea,2020Q2,3.153851888
Australia,2018Q4,0.105242078
Australia,2019Q1,0.443935576
Australia,2019Q2,0.758092607
Australia,2019Q3,0.505938362
Australia,2019Q4,0.552559011
Australia,2020Q1,0.26217283
Australia,2020Q2,6.997135639
Iceland,2018Q4,3.052413536
Iceland,2019Q1,1.618512932
Iceland,2019Q2,0.464414159
Iceland,2019Q3,0.5294124
Iceland,2019Q4,4.6944548
Iceland,2020Q1,5.674075152
Iceland,2020Q2,9.119798246
United Kingdom,2018Q4,0.166751655
United Kingdom,2019Q1,0.551073721
United Kingdom,2019Q2,0.017923531
United Kingdom,2019Q3,0.325823198
United Kingdom,2019Q4,0.149395602
United Kingdom,2020Q1,2.522693203
United Kingdom,2020Q2,19.81092556
Estonia,2018Q4,1.235251122
Estonia,2019Q1,1.963389657
Estonia,2019Q2,0.771591201
Estonia,2019Q3,1.403718229
Estonia,2019Q4,0.066674236
Estonia,2020Q1,2.18341108
Estonia,2020Q2,5.635834716
Denmark,2018Q4,0.78699072
Denmark,2019Q1,0.185592273
Denmark,2019Q2,1.24314668
Denmark,2019Q3,0.201237464
Denmark,2019Q4,0.496974494
Denmark,2020Q1,2.009481049
Denmark,2020Q2,6.926299655
Spain,2018Q4,0.554108131
Spain,2019Q1,0.522265726
Spain,2019Q2,0.378039987
Spain,2019Q3,0.353791001
Spain,2019Q4,0.414757334
Spain,2020Q1,5.249658572
Spain,2020Q2,17.79187907
Japan,2018Q4,0.574906822
Japan,2019Q1,0.703932637
Japan,2019Q2,0.409732936
Japan,2019Q3,0.041310655
Japan,2019Q4,1.796633024
Japan,2020Q1,0.58200285
Japan,2020Q2,7.919519426
OECD,2018Q4,0.264093396
OECD,2019Q1,0.614454635
OECD,2019Q2,0.400420043
OECD,2019Q3,0.424930819
OECD,2019Q4,0.19685385
OECD,2020Q1,1.882189104
OECD,2020Q2,10.53311915
Norway,2018Q4,0.223035667
Norway,2019Q1,0.051090181
Norway,2019Q2,0.22123815
Norway,2019Q3,0.015640885
Norway,2019Q4,1.512781313
Norway,2020Q1,1.696874179
Norway,2020Q2,5.117452853
Hungary,2018Q4,1.041653172
Hungary,2019Q1,1.620536715
Hungary,2019Q2,0.752324678
Hungary,2019Q3,0.959459277
Hungary,2019Q4,0.634507203
Hungary,2020Q1,0.35149368
Hungary,2020Q2,14.58265408
Canada,2018Q4,0.244056805
Canada,2019Q1,0.286648249
Canada,2019Q2,0.801419222
Canada,2019Q3,0.279160226
Canada,2019Q4,0.13976337
Canada,2020Q1,2.107752631
Canada,2020Q2,11.51169607
Argentina,2018Q4,1.035574913
Argentina,2019Q1,0.176674988
Argentina,2019Q2,0.428969962
Argentina,2019Q3,0.846522367
Argentina,2019Q4,0.919976045
Argentina,2020Q1,4.156615174
Argentina,2020Q2,16.2227774
Slovenia,2018Q4,1.039483695
Slovenia,2019Q1,0.869832692
Slovenia,2019Q2,0.036185759
Slovenia,2019Q3,0.846776547
Slovenia,2019Q4,0.398311321
Slovenia,2020Q1,4.704475363
Slovenia,2020Q2,9.942113179
Finland,2018Q4,0.371433063
